budget,movie_id,popularity,release_date,revenue,runtime,status,tagline,movie_title,vote_average,vote_count,language,full_original_name,country_short,country_name,release_date_season,oscar_year,year_of_release,award,actor_id,actor,director_id,director_name,genres,keywords,production,release_year,release_month,release_dayofweek,release_year_bins
4000000.0,5,22.9,1995-12-09,4300000.0,98,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,500,en,English,US,United States of America,Winter,0,0,Non-nominee,3129,Tim Roth,3110,Allison Anders,"Crime, Comedy","hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film","Miramax Films, A Band Apart",1995,12,5,1991-2000
11000000.0,11,126.4,1977-05-25,775398007.0,121,Released,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6600,en,English,US,United States of America,Spring,1977,1977,Nominee,2,Mark Hamill,1,George Lucas,"Adventure, Action, Science Fiction","android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism","Lucasfilm, Twentieth Century Fox Film Corporation",1977,5,2,1971-1990
94000000.0,12,85.7,2003-05-30,940335536.0,100,Released,"There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,7.6,6100,en,English,US,United States of America,Spring,0,0,Non-nominee,13,Albert Brooks,7,Andrew Stanton,"Animation, Family","father son relationship, harbor, underwater, fish tank, great barrier reef, missing child, aftercreditsstinger, duringcreditsstinger, short term memory loss, clownfish, father son reunion, protective father",Pixar Animation Studios,2003,5,4,2001-2010
55000000.0,13,138.1,1994-07-06,677945399.0,142,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7900,en,English,US,United States of America,Summer,1994,1994,Winner,31,Tom Hanks,24,Robert Zemeckis,"Comedy, Drama, Romance","vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee",Paramount Pictures,1994,7,2,1991-2000
15000000.0,14,80.9,1999-09-15,356296601.0,122,Released,Look closer.,American Beauty,7.9,3300,en,English,US,United States of America,Fall,1999,1999,Winner,1979,Kevin Spacey,39,Sam Mendes,Drama,"male nudity, female nudity, adultery, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, parent child relationship, bittersweet, affair","DreamWorks SKG, Jinks/Cohen Company",1999,9,2,1991-2000
12800000.0,16,22.0,2000-05-17,40031879.0,140,Released,You don't need eyes to see.,Dancer in the Dark,7.6,400,en,English,AR,Argentina,Spring,0,0,Non-nominee,47,Björk,42,Lars von Trier,"Drama, Crime, Music","individual, dancing, usa, robbery, factory worker, secret, factory, small town, dance, blindness and impaired vision, death penalty, immigrant, eye operation, eyesight, fantasy, naivety, self-abandonment, hereditary disease, loss of eyesight, czech, dying and death, van, friendship, murder, teacher, debt, execution, crime, police officer","Fine Line Features, Zentropa Entertainments, Danmarks Radio (DR), SVT Drama, Arte, Memfis Film, France 3 Cinéma, Angel films, TV 1000, Canal+, Constantin Film Produktion, Yleisradio (YLE), Arte France Cinéma, Westdeutscher Rundfunk (WDR), Blind Spot Pictures Oy, Vrijzinnig Protestantse Radio Omroep (VPRO), Film4, Liberator Productions, Icelandic Film, Film i Väst, Pain Unlimited GmbH Filmproduktion, Trust Film Svenska, Cinematograph A/S, What Else? B.V, Filmek A/S, Lantia Cinema & Audiovisivi",2000,5,2,2001-2010
90000000.0,18,109.5,1997-05-07,263920180.0,126,Released,There is no future without it.,The Fifth Element,7.3,3900,en,English,FR,France,Spring,0,0,Non-nominee,62,Bruce Willis,59,Luc Besson,"Adventure, Fantasy, Action, Thriller, Science Fiction","clone, taxi, cyborg, egypt, future, stowaway, space travel, race against time, arms dealer, love, alien, priest, end of the world, good vs evil, shootout, police chase, cab driver, new york city, space opera, military, opera singer, resort hotel, ancient astronaut, archeologist, ancient evil, cruise liner","Columbia Pictures, Gaumont",1997,5,2,1991-2000
92620000.0,19,32.4,1927-01-10,650422.0,153,Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8.0,700,de,German,DE,Germany,Winter,0,0,Non-nominee,75,Brigitte Helm,68,Fritz Lang,"Drama, Science Fiction","man vs machine, underground world, inventor, metropolis, worker, future, machine town, work, class society, dystopia, tower of babel, delirium, chase scene, mad scientist, prophet, robot, destruction, silent film, depravity, masterpiece, downtrodden, saviour","Paramount Pictures, Universum Film (UFA)",1927,1,0,1900-1950
140000000.0,22,272.0,2003-07-09,655011224.0,143,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7000,en,English,US,United States of America,Summer,0,0,Non-nominee,85,Johnny Depp,1704,Gore Verbinski,"Adventure, Fantasy, Action","exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga","Walt Disney Pictures, Jerry Bruckheimer Films",2003,7,2,2001-2010
30000000.0,24,79.8,2003-10-10,180949000.0,111,Released,Go for the kill.,Kill Bill: Vol. 1,7.7,4900,en,English,US,United States of America,Fall,0,0,Non-nominee,139,Uma Thurman,138,Quentin Tarantino,"Action, Crime","japan, coma, martial arts, kung fu, underworld, yakuza, sword, bride, revenge, gore, female yakuza, blood, wedding, samurai sword, part animation","Miramax Films, A Band Apart, Super Cool ManChu",2003,10,4,2001-2010
